Title,Production,Episodes,Source,Genre,Airdate,Rating,Voters,Theme
Tsuki ga Michibiku Isekai Douchuu,C2C,12,Light novel,"Action,Adventure,Comedy,Fantasy","Jul 7, 2021, 23:00 (JST)",7.75,"205,985",-
Hayate no Gotoku!,SynergySP,52,Manga,"Action,Comedy,Romance","Apr 1, 2007",7.54,"205,897","Harem,Parody"
Toaru Majutsu no Index III,J.C.Staff,26,Light novel,"Action,Sci-Fi","Oct 5, 2018, 22:00 (JST)",6.79,"205,496",Super Power
Sirius,P.A. Works,12,Original,"Action,Supernatural","Jul 12, 2018, 23:00 (JST)",7.01,"205,461","Historical,Vampire"
Youjo Senki Movie,Nut,1,Light novel,Action,,8.25,"205,434",Military
Texhnolyze,Madhouse,22,Original,"Action,Drama,Sci-Fi","Apr 17, 2003, 03:28 (JST)",7.77,"204,680",Psychological
Naruto: Shippuuden Movie 4 - The Lost Tower,Studio Pierrot,1,Manga,"Action,Comedy",,7.42,"204,424","Martial Arts,Super Power"
Yu☆Gi☆Oh!,Toei Animation,27,Manga,"Action,Comedy,Fantasy","Apr 4, 1998, 18:00 (JST)",7.20,"204,183",Game
Terra Formars,LIDENFILMS,13,Manga,"Action,Drama,Horror,Sci-Fi","Sep 27, 2014, 00:30 (JST)",7.02,"204,164",Space
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,Production I.G,26,Manga,"Action,Mystery,Sci-Fi","Jan 1, 2004",8.53,"203,568","Mecha,Military,Police"
Dance in the Vampire Bund,Shaft,12,Manga,"Action,Drama,Romance,Supernatural","Jan 7, 2010, 09:00 (JST)",7.02,"203,538",Vampire
100-man no Inochi no Ue ni Ore wa Tatteiru,Maho Film,12,Manga,"Action,Drama,Fantasy","Oct 2, 2020, 22:00 (JST)",6.49,"203,452",Game
Mirai Nikki,asread.,1,Manga,"Action,Supernatural",,7.23,"203,360",Shounen
Digimon Adventure 02,Toei Animation,50,Original,"Action,Adventure,Comedy,Drama,Fantasy","Apr 2, 2000, 09:00 (JST)",7.23,"202,464",Kids
"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen",SILVER LINK.,12,Light novel,"Action,Fantasy,Romance","Oct 7, 2020, 23:30 (JST)",6.60,"202,439",Military
Tenkuu Shinpan,Zero-G,12,Manga,"Action,Horror,Mystery",,6.78,"202,056",-
Canaan,P.A. Works,13,Visual novel,"Action,Sci-Fi,Supernatural","Jul 4, 2009, 22:30 (JST)",7.25,"201,179",Super Power
Pokemon: The Origin,OLM,4,Game,"Action,Adventure,Comedy,Fantasy",,7.74,"200,524",Kids
Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu,Studio Pierrot,1,Manga,"Action,Adventure,Comedy,Supernatural",,7.50,"200,379",Super Power
Aoharu x Kikanjuu,Brain's Base,12,Manga,"Action,Comedy,Sports","Jul 3, 2015, 01:46 (JST)",7.17,"200,360",Shounen
Big Order (TV),asread.,10,Manga,Action,"Apr 16, 2016, 01:40 (JST)",5.38,"200,116",Super Power
Tiger & Bunny,Sunrise,25,Original,"Action,Comedy,Mystery","Apr 3, 2011",7.90,"199,870",Super Power
Kara no Kyoukai 3: Tsuukaku Zanryuu,ufotable,1,Light novel,"Action,Drama,Mystery,Supernatural,Suspense",,8.05,"199,232",Aniplex of America
Final Fantasy VII: Advent Children,Square Enix,1,Game,"Action,Fantasy",,7.74,"199,230",Super Power
Kantai Collection: KanColle,Diomedéa,12,Game,"Action,Sci-Fi,Slice of Life","Jan 8, 2015, 01:05 (JST)",6.86,"199,202","Military,School"
Ushio to Tora (TV),MAPPA,26,Manga,"Action,Adventure,Comedy,Supernatural","Jul 3, 2015, 22:30 (JST)",7.58,"198,657",Demons
Seirei Gensouki,TMS Entertainment,12,Light novel,"Action,Adventure,Drama,Fantasy,Romance","Jul 6, 2021, 02:00 (JST)",7.04,"197,640",Harem
Mobile Suit Gundam 00,Sunrise,25,Original,"Action,Drama,Sci-Fi","Oct 6, 2007, 18:00 (JST)",8.13,"197,321","Mecha,Military,Space"
"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",SILVER LINK.,12,Light novel,"Action,Drama,Fantasy,Mystery,Romance","Oct 6, 2021, 23:00 (JST)",7.71,"197,225",-
One Piece Film: Strong World,Toei Animation,1,Manga,"Action,Adventure,Comedy,Drama,Fantasy",,8.14,"196,840",Shounen
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Sunrise,1,Manga,"Action,Comedy,Sci-Fi",,8.94,"196,088","Historical,Parody,Samurai"
07-Ghost,Studio Deen,25,Manga,"Action,Fantasy","Apr 7, 2009",7.21,"195,887","Demons,Military"
Karneval (TV),Manglobe,13,Manga,"Action,Fantasy,Mystery,Sci-Fi","Apr 4, 2013",7.11,"194,712",Josei
Kurenai no Buta,Studio Ghibli,1,Manga,"Action,Adventure,Comedy,Drama,Romance",,7.96,"194,634","Historical,Military"
Princess Connect! Re:Dive,CygamesPictures,13,Game,"Action,Adventure,Comedy,Fantasy","Apr 7, 2020, 00:30 (JST)",7.03,"194,390",-
Fate/stay night Movie: Unlimited Blade Works,Studio Deen,1,Visual novel,"Action,Fantasy,Supernatural",,7.38,"192,916",Sentai Filmworks
Seirei no Moribito,Production I.G,26,Novel,"Action,Adventure,Fantasy","Apr 7, 2007, 08:06 (JST)",8.15,"192,872",Historical
Naruto: Shippuuden Movie 5 - Blood Prison,Studio Pierrot,1,Manga,"Action,Adventure,Mystery",,7.45,"192,681","Martial Arts,Super Power"
Chrome Shelled Regios,Zexcs,24,Light novel,"Action,Adventure,Fantasy,Sci-Fi","Jan 11, 2009",7.31,"191,839",School
Mobile Suit Gundam: Iron-Blooded Orphans,Sunrise,25,Original,"Action,Drama,Sci-Fi","Oct 4, 2015, 17:00 (JST)",8.03,"190,364","Mecha,Space"
Bungou Stray Dogs: Dead Apple,Bones,1,Manga,"Action,Comedy,Mystery,Supernatural",,7.89,"189,947",Super Power
Goblin Slayer: Goblin's Crown,White Fox,1,Light novel,"Action,Adventure,Fantasy",,7.23,"188,961",-
Kara no Kyoukai 4: Garan no Dou,ufotable,1,Light novel,"Action,Mystery,Supernatural,Suspense",,7.87,"188,005",Aniplex of America
Log Horizon: Entaku Houkai,Studio Deen,12,Light novel,"Action,Adventure,Fantasy","Jan 13, 2021, 19:25 (JST)",7.04,"187,653",Game
Fate/Extra: Last Encore,Shaft,10,Game,"Action,Fantasy","Jan 28, 2018, 00:00 (JST)",6.28,"187,042",-
Berserk: Ougon Jidai-hen I - Haou no Tamago,Studio 4°C,1,Manga,"Action,Adventure,Fantasy,Supernatural",,7.73,"186,529","Demons,Military"
Rewrite,8bit,13,Visual novel,"Action,Comedy,Romance,Supernatural","Jul 2, 2016, 23:30 (JST)",6.67,"186,465",School
Rozen Maiden,Nomad,12,Manga,"Action,Comedy,Drama","Oct 8, 2004, 01:55 (JST)",7.42,"186,342",Seinen
Fairy Tail Movie 1: Houou no Miko,A-1 Pictures,1,Manga,"Action,Adventure,Comedy,Fantasy",,7.38,"185,831",Shounen
Arcana Famiglia,J.C.Staff,12,Visual novel,"Action,Romance,Supernatural","Jul 1, 2012",6.26,"185,697",Harem
Rail Wars!,Passione,12,Light novel,"Action,Ecchi","Jul 4, 2014",6.40,"185,517","Harem,Police"
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Gainax,1,Original,"Action,Sci-Fi",,8.57,"185,171","Mecha,Space,Super Power"
"Maou-sama, Retry!",EKACHI EPILKA,12,Light novel,"Action,Adventure,Fantasy","Jul 4, 2019, 00:00 (JST)",6.53,"183,509",Funimation
Yu☆Gi☆Oh!: Duel Monsters GX,Gallop,180,Manga,"Action,Comedy,Fantasy","Oct 6, 2004",7.16,"183,433",Game
Soul Eater NOT!,Bones,12,Manga,"Action,Comedy,Supernatural,Ecchi","Apr 9, 2014, 01:40 (JST)",5.92,"183,143",Shounen
Kimetsu no Yaiba: Mugen Ressha-hen,ufotable,7,Manga,"Action,Supernatural","Oct 10, 2021, 23:15 (JST)",8.43,"181,737","Demons,Historical"
Hitsugi no Chaika: Avenging Battle,Bones,10,Light novel,"Action,Adventure,Comedy,Fantasy,Romance","Oct 9, 2014, 01:05 (JST)",7.19,"181,118",Sentai Filmworks
Kara no Kyoukai 7: Satsujin Kousatsu (Go),ufotable,1,Light novel,"Action,Mystery,Romance,Supernatural,Suspense",,8.42,"181,065",Aniplex of America
Berserk: Ougon Jidai-hen III - Kourin,Studio 4°C,1,Manga,"Action,Adventure,Drama,Fantasy,Horror,Supernatural",,8.20,"180,247","Demons,Military"
Kill la Kill Specials,Trigger,2,Original,"Action,Comedy",,7.70,"179,420","School,Super Power"
JoJo no Kimyou na Bouken Part 6: Stone Ocean,David Production,?,Manga,"Action,Adventure",,N/A,"179,197",Shounen
Toaru Kagaku no Railgun T,J.C.Staff,25,Manga,"Action,Sci-Fi","Jan 10, 2020, 22:00 (JST)",8.21,"179,038",Super Power
Dragon Ball Z Movie 14: Kami to Kami,Toei Animation,1,Manga,"Action,Adventure,Fantasy",,7.39,"178,801","Martial Arts,Super Power"
Tate no Yuusha no Nariagari Season 3,-,?,Light novel,"Action,Adventure,Drama,Fantasy","??? ??, ????",N/A,"177,719",-
Hataraku Saibou Black (TV),LIDENFILMS,13,Manga,"Action,Drama","Jan 10, 2021, 00:00 (JST)",7.55,"177,664",Seinen
86 Part 2,A-1 Pictures,12,Light novel,"Action,Drama,Sci-Fi","Oct 3, 2021, 00:00 (JST)",8.64,"177,033","Mecha,Military"
"Tokyo Ghoul: ""Pinto""",Studio Pierrot,1,Light novel,"Action,Drama,Horror,Mystery,Supernatural",,7.23,"176,119",Psychological
Bleach Movie 4: Jigoku-hen,Studio Pierrot,1,Manga,"Action,Adventure,Comedy,Supernatural",,7.60,"175,935",Super Power
Naruto Movie 3: Dai Koufun! Mikazuki Jima no Animaru Panikku Dattebayo!,Studio Pierrot,1,Manga,"Action,Adventure",,6.90,"175,424",VIZ Media
Princess Principal,Actas,12,Original,"Action,Mystery","Jul 9, 2017, 23:00 (JST)",7.71,"175,401",Historical
D.N.Angel,Xebec,26,Manga,"Action,Comedy,Fantasy,Romance","Apr 3, 2003",7.18,"174,206",School
Isekai no Seikishi Monogatari,AIC Spirits,13,Original,"Action,Comedy,Fantasy,Ecchi",,7.79,"173,682","Harem,Mecha,School"
Dog Days,Seven Arcs,13,Original,"Action,Adventure,Fantasy","Apr 2, 2011",6.91,"173,523",-
Mo Dao Zu Shi,B.CMAY PICTURES,15,Novel,"Action,Adventure,Mystery,Supernatural",,8.48,"173,438",Historical
Burn the Witch,Studio Colorido,3,Manga,"Action,Fantasy",,7.13,"172,659",Shounen
Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,Studio 4°C,1,Manga,"Action,Adventure,Drama,Fantasy,Horror,Supernatural",,7.89,"171,911","Demons,Military"
Cross Ange: Tenshi to Ryuu no Rondo,Sunrise,25,Original,"Action,Sci-Fi","Oct 5, 2014, 01:30 (JST)",7.40,"170,949",Mecha
Radiant,Lerche,21,Other,"Action,Adventure,Fantasy","Oct 6, 2018, 17:35 (JST)",6.87,"170,807",Funimation
Gunslinger Girl,Madhouse,13,Manga,"Action,Drama,Sci-Fi","Oct 9, 2003",7.40,"170,654","Military,Psychological"
Naruto: Shippuuden Movie 3 - Hi no Ishi wo Tsugu Mono,Studio Pierrot,1,Manga,"Action,Comedy",,7.33,"170,265","Martial Arts,Super Power"
Tensei shitara Slime Datta Ken OVA,8bit,5,Manga,"Action,Adventure,Comedy,Fantasy",,7.48,"170,154",Demons
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Movie: Orion no Ya,J.C.Staff,1,Light novel,"Action,Adventure,Comedy,Fantasy,Romance",,7.44,"169,783",Sentai Filmworks
D.Gray-man Hallow,TMS Entertainment,13,Manga,"Action,Adventure","Jul 5, 2016, 01:35 (JST)",7.72,"169,751","Demons,Super Power"
Tenjou Tenge,Madhouse,24,Manga,"Action,Comedy,Ecchi","Apr 2, 2004",6.90,"169,559","Martial Arts,School,Super Power"
"Hachi-nan tte, Sore wa Nai deshou!",Shin-Ei Animation,12,Light novel,"Action,Fantasy","Apr 2, 2020, 21:00 (JST)",6.22,"168,912",Crunchyroll
Kara no Kyoukai 6: Boukyaku Rokuon,ufotable,1,Light novel,"Action,Mystery,Romance,Supernatural,Suspense",,7.50,"167,938",Aniplex of America
Fate/Grand Order: First Order,Lay-duce,1,Game,"Action,Fantasy,Supernatural",,6.75,"167,560",Aniplex of America
Michiko to Hatchin,Manglobe,22,Original,"Action,Adventure","Oct 16, 2008",7.84,"167,286",Funimation
Basilisk: Kouga Ninpou Chou,Gonzo,24,Manga,"Action,Adventure,Fantasy,Romance,Supernatural","Apr 13, 2005",7.56,"167,100","Historical,Samurai"
Kyuukyoku Shinka shita Full Dive RPG ga Genjitsu yori mo Kusoge Dattara,ENGI,12,Light novel,"Action,Comedy,Fantasy","Apr 7, 2021, 22:30 (JST)",6.50,"167,094",Game
Trinity Blood,Gonzo,24,Light novel,"Action,Supernatural","Apr 29, 2005",7.31,"167,064",Vampire
Boku no Hero Academia: Training of the Dead,Bones,1,Manga,"Action,Comedy",,7.28,"166,447","School,Super Power"
Black★Rock Shooter (OVA),Ordet,1,Other,"Action,Drama",,7.11,"166,276",Super Power
Kino no Tabi: The Beautiful World - The Animated Series,Lerche,12,Light novel,"Action,Adventure,Slice of Life","Oct 6, 2017, 22:00 (JST)",7.60,"166,178",Funimation
Gungrave,Madhouse,26,Game,"Action,Drama,Sci-Fi","Oct 7, 2003",7.85,"165,688",Super Power
Strike the Blood II,Connect,8,Light novel,"Action,Fantasy,Supernatural,Ecchi",,7.01,"165,247","Harem,Vampire"
UQ Holder!: Mahou Sensei Negima! 2,J.C.Staff,12,Manga,"Action,Fantasy,Sci-Fi","Oct 3, 2017, 00:00 (JST)",6.96,"165,209",Shounen
Jormungand: Perfect Order,White Fox,12,Manga,"Action,Adventure","Oct 10, 2012",7.92,"165,131",Seinen
Nanatsu no Taizai OVA,A-1 Pictures,2,Manga,"Action,Adventure,Fantasy,Supernatural",,7.54,"164,966",Shounen
No Guns Life,Madhouse,12,Manga,"Action,Drama,Sci-Fi","Oct 11, 2019, 01:28 (JST)",6.87,"164,705",Seinen
Fullmetal Alchemist: The Sacred Star of Milos,Bones,1,Manga,"Action,Adventure,Comedy,Drama,Fantasy",,7.29,"164,238",Military
Kyoukaisenjou no Horizon,Sunrise,13,Light novel,"Action,Fantasy,Sci-Fi","Oct 2, 2011, 02:58 (JST)",7.06,"163,968",Sentai Filmworks
C³,SILVER LINK.,12,Light novel,"Action,Comedy,Supernatural,Ecchi","Oct 1, 2011",6.62,"163,586",School
Mnemosyne: Mnemosyne no Musume-tachi,Xebec,6,Original,"Action,Girls Love,Horror,Sci-Fi,Supernatural","Feb 4, 2008",7.29,"163,276",Funimation
Baccano! Specials,Brain's Base,3,Light novel,"Action,Comedy,Mystery,Supernatural",,8.12,"162,881",Historical
Code Geass: Boukoku no Akito 1 - Yokuryuu wa Maiorita,Sunrise,1,Original,"Action,Sci-Fi",,7.37,"162,521","Mecha,Military"
Hyakka Ryouran: Samurai Girls,Arms,12,Light novel,"Action,Comedy,Ecchi","Sep 4, 2010",6.79,"162,463","Harem,Samurai,School"
Kyousou Giga (TV),Toei Animation,10,Original,"Action,Fantasy,Supernatural","Oct 10, 2013, 01:30 (JST)",7.75,"162,213",Discotek Media
Initial D Second Stage,Pastel,13,Manga,"Action,Drama,Sports","Oct 15, 1999, 01:55 (JST)",8.13,"162,053",Cars
Seiken no Blacksmith,Manglobe,12,Light novel,"Action,Adventure,Fantasy","Oct 3, 2009",6.70,"161,660",Funimation
Eyeshield 21,Gallop,145,Manga,"Action,Comedy,Sports","Apr 6, 2005, 19:00 (JST)",7.93,"161,540",Shounen
Qualidea Code,A-1 Pictures,12,Original,"Action,Supernatural","Jul 10, 2016, 00:00 (JST)",6.49,"161,112",-
Gintama.: Shirogane no Tamashii-hen,Bandai Namco Pictures,12,Manga,"Action,Comedy,Sci-Fi","Jan 8, 2018, 01:35 (JST)",8.82,"160,452","Historical,Parody,Samurai"
Pokemon Advanced Generation,OLM,192,Game,"Action,Adventure,Comedy,Fantasy","Nov 21, 2002, 19:00 (JST)",7.09,"160,141",Kids
Tsugumomo,Zero-G,12,Manga,"Action,Comedy,Supernatural,Ecchi","Apr 2, 2017, 23:30 (JST)",7.06,"160,128",School
Hitori no Shita: The Outcast,Namu Animation,12,Web manga,"Action,Supernatural","Jul 9, 2016, 21:00 (JST)",6.80,"160,007",Super Power
Shuumatsu no Izetta,Ajia-Do,12,Original,Action,"Oct 1, 2016, 23:00 (JST)",6.76,"159,595","Historical,Military"
Busou Renkin,Xebec,26,Manga,"Action,Comedy,Fantasy,Supernatural","Oct 5, 2006, 01:00 (JST)",7.33,"159,528",School
Kingdom,Studio Pierrot,38,Manga,Action,"Jun 4, 2012, 19:00 (JST)",8.00,"159,489","Historical,Military"
Dragon Crisis!,Studio Deen,12,Light novel,"Action,Romance,Supernatural","Jan 11, 2011, 01:30 (JST)",6.67,"158,980",School
Boku no Hero Academia 2nd Season: Hero Note,Bones,1,Manga,"Action,Comedy",,7.32,"158,720",Super Power
Kuroshitsuji Movie: Book of the Atlantic,A-1 Pictures,1,Manga,"Action,Comedy,Mystery,Supernatural",,8.25,"158,436","Demons,Historical"
Tokyo ESP,Xebec,12,Manga,"Action,Comedy,Sci-Fi,Supernatural","Jul 12, 2014",6.56,"157,835",Super Power
Gintama.: Porori-hen,Bandai Namco Pictures,13,Manga,"Action,Comedy,Sci-Fi","Oct 2, 2017, 01:35 (JST)",8.53,"157,609","Historical,Parody,Samurai"
Tennis no Ouji-sama,Trans Arts,178,Manga,"Action,Comedy,Sports","Oct 10, 2001",7.88,"157,441",School
Last Exile,Gonzo,26,Original,"Action,Adventure,Sci-Fi","Apr 8, 2003, 01:30 (JST)",7.81,"157,275","Funimation,Geneon Entertainment USA"
Hunter x Hunter Movie 1: Phantom Rouge,Madhouse,1,Manga,"Action,Adventure,Fantasy",,7.25,"157,204",Super Power
Durarara!! Specials,Brain's Base,2,Light novel,"Action,Comedy,Supernatural",,7.88,"156,956",Aniplex of America
Mahouka Koukou no Rettousei Movie: Hoshi wo Yobu Shoujo,8bit,1,Light novel,"Action,Sci-Fi,Supernatural",,7.46,"156,175",Aniplex of America
Devil Survivor 2 The Animation,Bridge,13,Game,"Action,Supernatural","Apr 5, 2013",6.87,"155,839",Demons
Fairy Tail Movie 2: Dragon Cry,A-1 Pictures,1,Manga,"Action,Adventure,Comedy,Fantasy",,7.52,"155,371",Shounen
Strike Witches,Gonzo,12,Original,"Action,Sci-Fi,Ecchi","Jul 4, 2008, 01:20 (JST)",6.98,"154,963",Military
Pokemon Movie 03: Kesshoutou no Teiou Entei,OLM,1,Game,"Action,Adventure,Comedy,Drama,Fantasy",,7.08,"154,742",Kids
Nabari no Ou,J.C.Staff,26,Manga,"Action,Comedy,Drama,Fantasy,Supernatural","Apr 7, 2008",7.27,"154,725",Shounen
Killing Bites,LIDENFILMS,12,Manga,"Action,Sci-Fi,Ecchi","Jan 13, 2018, 02:25 (JST)",6.59,"154,718",Seinen
Danganronpa 3: The End of Kibougamine Gakuen - Kibou-hen,Lerche,1,Game,"Action,Horror,Mystery",,7.48,"153,875",Psychological
Divine Gate,Studio Pierrot,12,Game,"Action,Fantasy,Sci-Fi","Jan 8, 2016, 22:30 (JST)",5.56,"153,856",Funimation
Shuumatsu no Walküre,Graphinica,12,Manga,"Action,Drama,Supernatural",,6.63,"153,790",Super Power
Kakumeiki Valvrave,Sunrise,12,Original,Action,"Apr 12, 2013",7.15,"152,914","Mecha,Military,Space"
Beatless,Diomedéa,20,Light novel,"Action,Drama,Romance,Sci-Fi","Jan 13, 2018, 01:55 (JST)",6.20,"152,824",-
Hakuouki,Studio Deen,12,Visual novel,"Action,Drama,Supernatural","Apr 4, 2010",7.39,"152,518","Historical,Samurai"
One Piece Film: Gold,Toei Animation,1,Manga,"Action,Adventure,Comedy,Drama,Fantasy",,7.92,"151,100",Shounen
DRAMAtical Murder,NAZ,12,Visual novel,"Action,Sci-Fi","Jul 7, 2014",6.07,"150,738","Psychological,Super Power"
Dragon Ball Kai (2014),Toei Animation,61,Manga,"Action,Adventure,Comedy,Fantasy","Apr 6, 2014, 09:00 (JST)",7.66,"150,548","Martial Arts,Super Power"
Boku no Hero Academia: Sukue! Kyuujo Kunren!,Bones,1,Manga,"Action,Comedy",,7.28,"150,099","School,Super Power"
Mobile Suit Gundam SEED,Sunrise,50,Original,"Action,Drama,Romance,Sci-Fi","Oct 5, 2002, 18:00 (JST)",7.77,"148,965","Mecha,Military,Space"
Freezing Vibration,A.C.G.T.,12,Manga,"Action,Drama,Romance,Sci-Fi,Ecchi","Oct 4, 2013, 21:30 (JST)",6.76,"148,920","Harem,Martial Arts,Military"
Nomad: Megalo Box 2,TMS Entertainment,13,Original,"Action,Drama,Sci-Fi,Sports","Apr 4, 2021, 23:00 (JST)",8.21,"148,482",Funimation
Fairy Gone,P.A. Works,12,Original,"Action,Fantasy,Supernatural","Apr 8, 2019, 00:00 (JST)",5.79,"148,470",Demons
Utawarerumono,OLM,26,Visual novel,"Action,Drama,Fantasy,Sci-Fi","Apr 4, 2006, 02:40 (JST)",7.64,"148,404","ADV Films,Funimation"
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka OVA,J.C.Staff,1,Light novel,"Action,Adventure,Comedy,Fantasy,Romance",,7.06,"148,340",Sentai Filmworks
Sengoku Basara,Production I.G,12,Game,Action,"Apr 2, 2009, 01:29 (JST)",7.36,"147,232","Historical,Martial Arts,Samurai,Super Power"
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,Bandai Namco Pictures,14,Manga,"Action,Comedy,Sci-Fi","Jul 9, 2018, 01:35 (JST)",8.88,"147,212","Historical,Parody,Samurai"
Shingetsutan Tsukihime,J.C.Staff,12,Visual novel,"Action,Horror,Mystery,Romance,Supernatural","Oct 10, 2003",6.87,"147,099","Super Power,Vampire"
Nurarihyon no Mago: Sennen Makyou,Studio Deen,24,Manga,"Action,Supernatural","Jul 3, 2011, 17:30 (JST)",7.97,"146,566",Demons
Sennen Joyuu,Madhouse,1,Original,"Action,Adventure,Drama,Fantasy,Romance",,8.26,"145,673",Historical
Trinity Seven Movie 1: Eternity Library to Alchemic Girl,Seven Arcs Pictures,1,Manga,"Action,Comedy,Fantasy,Romance,Ecchi",,7.26,"145,405","Harem,School"
Gantz 2nd Stage,Gonzo,13,Manga,"Action,Drama,Horror,Sci-Fi,Supernatural,Ecchi","Aug 26, 2004",7.06,"145,278",Psychological
Golden Kamuy 2nd Season,Geno Studio,12,Manga,"Action,Adventure","Oct 8, 2018, 23:00 (JST)",8.22,"144,843",Historical
Casshern Sins,Madhouse,24,Other,"Action,Adventure,Drama,Sci-Fi","Oct 2, 2008",7.52,"143,741",Psychological
Berserk 2nd Season,GEMBA,12,Manga,"Action,Adventure,Drama,Fantasy,Horror,Supernatural","Apr 7, 2017, 22:30 (JST)",6.59,"143,319",Demons
Vampire Hunter D (2000),Madhouse,1,Light novel,"Action,Drama,Fantasy,Horror,Romance,Sci-Fi",,7.89,"143,250",Vampire
Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,Gainax,1,Original,"Action,Comedy",,8.16,"142,562",Mecha
"Dragon Ball Z Movie 15: Fukkatsu no ""F""",Toei Animation,1,Manga,"Action,Adventure,Comedy,Fantasy",,7.07,"142,474","Martial Arts,Super Power"
Mobile Suit Gundam Wing,Sunrise,49,Original,"Action,Drama,Sci-Fi","Apr 7, 1995, 17:00 (JST)",7.71,"142,462","Mecha,Military,Space"
Tales of Zestiria the Cross 2nd Season,ufotable,13,Game,"Action,Adventure,Fantasy","Jan 8, 2017, 23:00 (JST)",7.33,"142,185",Funimation
"Ore, Twintail ni Narimasu.",Production IMS,12,Light novel,"Action,Comedy,Fantasy,Romance","Oct 10, 2014, 01:46 (JST)",6.46,"141,197",School
Mahou Shoujo Ikusei Keikaku,Lerche,12,Light novel,"Action,Fantasy,Supernatural,Suspense","Oct 2, 2016, 00:00 (JST)",6.97,"140,137",Funimation
Initial D Fourth Stage,A.C.G.T.,24,Manga,"Action,Drama,Sports","Apr 17, 2004",8.14,"139,857",Cars
Kyoukai no Kanata Movie 1: I'll Be Here - Kako-hen,Kyoto Animation,1,Light novel,"Action,Fantasy,Supernatural",,7.72,"139,845",Sentai Filmworks
Choujigen Game Neptune The Animation,David Production,12,Game,"Action,Comedy,Fantasy,Sci-Fi,Supernatural","Jul 12, 2013",6.95,"139,771",Parody
Hunter x Hunter Movie 2: The Last Mission,Madhouse,1,Manga,"Action,Adventure,Fantasy",,7.26,"139,390",Super Power
Fate/kaleid liner Prisma☆Illya 2wei!,SILVER LINK.,10,Manga,"Action,Comedy,Fantasy","Jul 10, 2014, 01:35 (JST)",7.26,"139,227",Sentai Filmworks
Digimon Frontier,Toei Animation,50,Original,"Action,Adventure,Comedy,Drama,Fantasy","Apr 7, 2002, 09:00 (JST)",7.15,"138,842",Shounen
Heavy Object,J.C.Staff,24,Light novel,"Action,Sci-Fi","Oct 3, 2015, 00:30 (JST)",7.27,"138,260","Mecha,Military"
Aoki Hagane no Arpeggio: Ars Nova,SANZIGEN,12,Manga,"Action,Sci-Fi","Oct 8, 2013, 02:55 (JST)",7.37,"138,199",Seinen
Sabage-bu!,Pierrot Plus,12,Manga,"Action,Comedy","Jul 6, 2014",7.36,"137,983",Military
"Dragon Ball Z Movie 08: Moetsukiro!! Nessen, Ressen, Chougekisen",Toei Animation,1,Manga,"Action,Adventure,Comedy,Fantasy,Sci-Fi",,7.32,"137,206",Shounen
Triage X,Xebec,10,Manga,"Action,Adventure,Ecchi","Apr 9, 2015, 01:05 (JST)",6.32,"137,094",Shounen
Brave 10,TMS Entertainment,12,Manga,"Action,Adventure","Jan 8, 2012",6.77,"137,054","Historical,Samurai,Super Power"
Macross F,Satelight,25,Original,"Action,Romance,Sci-Fi","Apr 4, 2008, 01:25 (JST)",7.90,"135,270","Mecha,Military,Music,Space"
Initial D Third Stage,Studio Deen,1,Manga,"Action,Drama,Romance,Sports",,7.88,"135,005",Cars
Gintama Movie 1: Shinyaku Benizakura-hen,Sunrise,1,Manga,"Action,Comedy,Sci-Fi",,8.52,"134,998","Historical,Parody,Samurai"
Seihou Bukyou Outlaw Star,Sunrise,24,Manga,"Action,Adventure,Comedy,Sci-Fi","Jan 9, 1998, 01:15 (JST)",7.86,"134,881",Space
Yozakura Quartet,Nomad,12,Manga,"Action,Comedy,Supernatural","Oct 3, 2008",6.82,"134,781",Super Power
Dantalian no Shoka,Gainax,12,Light novel,"Action,Mystery,Supernatural","Jul 16, 2011",7.24,"134,721",Historical
Mobile Suit Gundam 00 Second Season,Sunrise,25,Original,"Action,Drama,Sci-Fi","Oct 5, 2008",8.10,"134,642","Mecha,Military,Space"
Arifureta Shokugyou de Sekai Saikyou 2nd Season,asread.,?,Light novel,"Action,Adventure,Fantasy","Jan ??, 2022",N/A,"134,543",Harem
Saihate no Paladin,Children's Playground Entertainment,12,Light novel,"Action,Adventure,Fantasy","Oct 9, 2021, 22:00 (JST)",7.39,"134,504",-
Hakata Tonkotsu Ramens,Satelight,12,Novel,"Action,Mystery","Jan 12, 2018, 22:30 (JST)",7.39,"133,573",Funimation
Higashi no Eden Movie II: Paradise Lost,Production I.G,1,Original,"Action,Comedy,Drama,Mystery,Romance,Suspense",,7.60,"133,230",Funimation
Uchuu Patrol Luluco,Trigger,13,Original,"Action,Adventure,Comedy","Apr 1, 2016, 22:30 (JST)",7.57,"133,006",Space
